ID,Count
1,5
2,35
3,25
4,33
5,18
6,16
7,21
8,4
9,5
10,31
11,23
12,13
13,13
14,28
15,36
16,11
17,9
18,8
19,21
20,28
21,8
22,32
23,23
24,16
25,20
26,14
27,29
28,18
29,6
30,4
31,18
32,42
33,6
34,20
35,24
36,20
37,17
38,13
39,28
40,18
41,30
42,12
43,30
44,11
45,10
46,31
47,23
48,27
49,9
50,5
51,16
52,16
53,21
54,12
55,21
56,41
57,25
58,23
59,5
60,20
61,19
62,15
63,17
64,23
65,29
66,15
67,22
68,19
69,30
70,32
71,10
72,12
73,18
74,27
75,4
76,24
77,16
78,29
79,14
80,26
81,11
82,13
83,17
84,12
85,34
86,22
87,24
88,19
89,7
90,2
91,12
92,25
93,30
94,20
95,32
96,27
97,29
98,34
99,24
100,9
101,3
102,20
103,17
104,33
105,26
106,16
107,29
108,19
109,51
110,27
111,26
112,12
113,33
114,21
115,27
116,43
117,27
118,27
119,21
120,14
121,19
122,13
123,13
124,32
125,12
126,15
127,31
128,13
129,12
130,19
131,28
132,16
133,15
134,28
135,18
136,29
137,28
138,5
139,4
140,6
141,11
142,28
143,19
144,7
145,9
146,10
147,29
148,23
149,23
150,21
151,6
152,25
153,19
154,16
155,14
156,21
157,20
158,21
159,11
160,25
161,28
162,18
163,21
164,20
165,16
166,11
167,9
168,8
169,18
170,13
171,9
172,17
173,17
174,16
175,18
176,20
177,16
178,27
179,9
180,10
181,21
182,17
183,34
184,30
185,8
186,18
187,17
188,11
189,14
190,22
191,35
192,7
193,30
194,16
195,35
196,40
197,56
198,51
199,9
200,15
201,7
202,28
203,24
204,10
205,27
206,9
207,26
208,25
209,20
210,18
211,17
212,20
213,25
214,37
215,32
216,17
217,13
218,26
219,13
220,27
221,38
222,19
223,31
224,13
225,8
226,36
227,26
228,20
229,21
230,13
231,14
232,41
233,4
234,25
235,16
236,9
237,6
238,25
239,7
240,33
241,54
242,5
243,8
244,15
245,12
246,11
247,42
248,28
249,28
250,25
251,24
252,24
253,24
254,22
255,30
256,33
